PTO_X,PTO_Y,WI0,WI1,WI2,WI3,WI4,WI5,WI6,WI7,WI8,WI9
86.4508,83.729034,-44,-50,-51,-51,-51,-43,-52,-52,-99,-53
77.14998,48.61682,-68,-52,-51,-52,-52,-77,-99,-99,-74,-99
64.71072,79.84242,-67,-79,-74,-74,-74,-74,-69,-68,-99,-68
87.63141,86.15838,-50,-58,-58,-57,-58,-50,-61,-61,-99,-60
87.61423,90.68684,-46,-54,-54,-53,-53,-49,-54,-52,-99,-54
80.7283,68.86427,-44,-49,-50,-49,-49,-52,-49,-45,-99,-46
76.96058,39.520237,-65,-50,-50,-50,-50,-74,-99,-99,-70,-99
91.5583,86.05007,-54,-65,-63,-65,-65,-59,-58,-63,-99,-58
77.94145,68.16037,-59,-63,-63,-64,-63,-65,-60,-58,-99,-59
88.04714,93.34,-48,-57,-59,-58,-58,-51,-54,-54,-99,-54
85.2173,18.855604,-61,-50,-50,-50,-50,-61,-65,-65,-60,-65
74.93132,48.58975,-67,-49,-49,-49,-49,-77,-69,-70,-70,-99
74.55253,39.845116,-68,-46,-53,-54,-54,-76,-99,-99,-67,-99
81.78351,71.95221,-54,-65,-66,-66,-54,-63,-53,-52,-99,-52
72.09037,46.044876,-58,-43,-42,-40,-41,-66,-64,-64,-59,-99
86.6402,73.901474,-42,-44,-43,-45,-43,-47,-44,-43,-99,-45
85.96719,60.119637,-47,-41,-41,-41,-42,-55,-99,-45,-69,-46
68.98567,79.73413,-65,-80,-79,-77,-78,-74,-62,-61,-99,-64
70.527916,74.90158,-59,-63,-62,-71,-71,-68,-57,-57,-99,-57
68.84357,41.090485,-59,-41,-41,-41,-42,-70,-99,-65,-55,-99
86.22751,28.948172,-58,-56,-56,-56,-57,-57,-99,-62,-64,-99
84.74965,63.449635,-44,-44,-44,-44,-44,-54,-99,-99,-68,-99
85.41276,67.73509,-45,-59,-58,-58,-58,-55,-52,-46,-99,-49
89.20437,91.25538,-51,-56,-56,-56,-57,-51,-60,-58,-99,-59
72.93596,69.622314,-57,-56,-57,-57,-58,-63,-60,-60,-99,-60
80.992035,40.576096,-58,-55,-55,-55,-55,-66,-99,-66,-74,-99
78.80727,67.91671,-48,-58,-59,-59,-58,-61,-49,-51,-99,-46
85.8186,72.58118,-48,-57,-57,-57,-57,-51,-54,-55,-99,-54
82.15547,50.051697,-52,-38,-39,-39,-39,-63,-58,-59,-70,-99
77.93462,39.27658,-60,-46,-46,-46,-46,-68,-99,-99,-70,-99
86.34926,55.79121,-49,-42,-42,-42,-42,-56,-50,-50,-67,-49
85.08807,81.962036,-52,-60,-59,-58,-59,-52,-60,-61,-99,-61
80.64713,71.19415,-57,-59,-66,-58,-59,-62,-49,-49,-99,-49
95.37331,85.64398,-51,-58,-63,-63,-63,-56,-58,-58,-99,-58
82.5072,48.12951,-60,-46,-45,-45,-45,-68,-62,-62,-72,-62
